artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
O.lew,2023-01-02,2024-07-31T00:44:59Z,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,278732,3a2Oftcs10wtzw6AmxuTMU,4APrfmUo8KRrjCVuyoKvwY
Tama,2023-04-07,2024-07-31T00:44:59Z,Ngày Em Đẹp Nhất,303024,0DtarPcErIh4skfFtxzomo,4npVRqpqmmM0MYHXTzu0o1
An Vũ,2024-01-11,2024-07-31T00:44:59Z,Chàng Trai Bất Tử,232994,18iADruKMXIloyA9vCJXFE,0IBUlucigx80io4qV5fQ34
RPT MCK,2022-02-24,2024-07-31T00:44:59Z,Chìm Sâu,156000,4ih9noxBfg7euMjCPO0qNH,1zSv9qZANOWB4HRE8sxeTL
Chillies,2023-02-09,2024-07-31T00:44:59Z,Giấc Mơ Khác,223154,5YiqPAVbiFUj1G1qvbXo0X,2xvW7dgL1640K8exTcRMS4
W/N,2022-07-31,2024-07-31T00:44:59Z,"3107 4 (feat. Erik, Nâu)",213913,45PPoUgqs3JrhkZGEzSUHT,6NF9Oa4ThQWCj6mogFSrVD
UMIE,2022-01-22,2024-07-31T00:44:59Z,Không Yêu Xin Đừng Nói - Piano Version,244218,0vkExWiBJSrfWnlMC7x48b,6fIF1TzV4K21TUWPXoQDAj
Hứa Kim Tuyền,2022-12-16,2024-07-31T00:44:59Z,anh sẽ đến cùng cơn mưa,261290,17vw2n25C8g7KKCilJ3pER,3Ufoo4BPShhahtCSjgpBLP
RPT Orijinn,2022-11-20,2024-07-31T00:44:59Z,Don't Côi,148880,3ukrFH17Zl6iEZ2QJ1Zwiy,25JRC8aMGIGBIJ5KiINv3l
buitruonglinh,2022-12-14,2024-07-31T00:44:59Z,Yêu Người Có Ước Mơ,296000,31lWJAIRZC1cSPyCuXWAaX,7Cp2hGcriAaDUAWpXnSEwm
Hà Nhi,2022-09-22,2024-07-31T00:44:59Z,Lâu Lâu Nhắc Lại,270000,5B66uVtd4X6Tls9I2VQm4N,3XOuN4VDN4EL0GjKov5mWL
